Country,PortName,VesselsinPort,Average_Departures,Average_Arrivals,Type,AreaLocal,AreaGlobal
Mexico,DOS BOCAS,54,24,26,Port,Gulf of Mexico,Gulf of Mexico
Canada,QUEBEC,54,17,21,Port,St. Lawrence River,East Coast Canada
New Caledonia,NOUMEA,54,29,33,Port,Coral Sea,East Australia
Germany,EMDEN,54,29,38,Port,North Sea,UK Coast & Atlantic
Turkey,NEMRUT,54,46,44,Port,Aegean Sea,East Mediterranean
Poland,SWINOUJSCIE,54,40,30,Port,Baltic Sea,Baltic Sea
Netherlands,MAASBRACHT,54,36,41,Port,"Inland, Europe","Inland, Europe"
Korea,YEOSU ANCH,54,121,100,Anchorage,East China Sea,North China
Italy,SANREMO,54,9,7,Port,Ligurean Sea,West Mediterranean
Netherlands,VOLENDAM,54,45,50,Port,North Sea,UK Coast & Atlantic
USA,ALAMITOS BAY,54,12,26,Marina,US West Coast,US West Coast
Netherlands,HINDELOOPEN,54,33,36,Port,North Sea,UK Coast & Atlantic
Germany,LABOE,54,34,50,Marina,Kiel Canal,Baltic Sea
Korea,TONGYEONG,53,82,94,Port,North China,North China
Japan,SAKAI,53,100,97,Port,Japan Coast,Japan Coast
USA,MOBILE,53,19,22,Port,Gulf of Mexico,Gulf of Mexico
Canada,PRINCE RUPERT,53,41,46,Port,West Coast Canada,West Coast Canada
Korea,SAMCHEONPO,53,29,42,Port,North China,North China
Denmark,GILLELEJE,53,19,26,Port,Kattegat,Baltic Sea
Netherlands,FLEVO MARINA,53,27,42,Port,North Sea,UK Coast & Atlantic
Brazil,PARANAGUA ANCH,53,3,8,Anchorage,East Coast South America,East Coast South America
United Kingdom,PORT HAMBLE,53,22,39,Marina,English Channel,UK Coast & Atlantic
Australia,SOUTHPORT QLD,53,22,20,Port,Coral Sea,East Australia
New Zealand,AUCKLAND,52,74,85,Port,East Australia,East Australia
Puerto Rico,SAN JUAN,52,4,5,Port,Caribbean Sea,Caribbean Sea
Japan,KUSHIRO,52,73,57,Port,Japan Coast,Japan Coast
