Country,PortName,VesselsinPort,Average_Departures,Average_Arrivals,Type,AreaLocal,AreaGlobal
China,LUOYUAN,86,30,35,Port,East China Sea,South China
China,CHENJIAGANG,86,29,23,Port,Yellow Sea,North China
United Kingdom,FALMOUTH,86,39,54,Port,Celtic Sea,UK Coast & Atlantic
China,SANYA,86,0,5,Port,South China,South China
China,SANSHAN,86,48,41,Port,East China Sea,"Inland, China"
Japan,TOKYO,85,73,88,Port,Japan Coast,Japan Coast
Spain,CADIZ,85,139,133,Port,Gibraltar,UK Coast & Atlantic
USA,PALM BEACH,85,15,16,Port,US East Coast,US East Coast
USA,LONG BEACH,84,133,147,Port,US West Coast,US West Coast
Japan,KOBE,84,128,119,Port,Japan Coast,Japan Coast
Qatar,RAS LAFFAN,84,45,48,Port,Persian Gulf,Arabian Gulf
USA,BALTIMORE,84,44,45,Port,US East Coast,US East Coast
Spain,CARTAGENA,84,36,35,Port,West Mediterranean,West Mediterranean
China,SONGMEN,84,24,32,Port,East China Sea,Central China
USA,LAKE CHARLES,83,48,48,Port,Gulf of Mexico,Gulf of Mexico
United Kingdom,HAMBLE POINT,83,51,78,Marina,English Channel,UK Coast & Atlantic
Brazil,SANTOS ANCH,83,23,22,Anchorage,East Coast South America,East Coast South America
China,JINGTANG,82,57,61,Port,Bohai Sea,North China
Netherlands,TERNEUZEN,82,158,148,Port,Antwerp Area,UK Coast & Atlantic
Germany,HEILIGENHAFEN,82,26,32,Port,Baltic Sea,Baltic Sea
United Arab Emirates,SHARJAH ANCH,82,59,52,Anchorage,Dubai Area,Arabian Gulf
Belgium,ANTWERP ANCH,82,52,38,Anchorage,North Sea,UK Coast & Atlantic
Australia,MANLY HARBOUR,82,6,22,Marina,Coral Sea,East Australia
China,XIAMEN ANCH,82,59,77,Anchorage,East China Sea,South China
Norway,BERGEN,81,66,70,Port,North Sea,Norwegian Coast
Norway,TROMSO,81,38,55,Port,Norwegian Coast,Norwegian Coast
China,DONGJIAKOU,80,94,100,Port,Yellow Sea,North China
Finland,HELSINKI,80,101,123,Port,Finland Gulf,Baltic Sea
Egypt,SUEZ CANAL,79,30,75,Canal,East Mediterranean,East Mediterranean
Indonesia,PALEMBANG,79,31,26,Port,Java Sea,Indonesia
China,HUIZHOU ANCH,79,60,57,Anchorage,South China,South China
France,SAINT TROPEZ,79,54,86,Marina,Ligurean Sea,West Mediterranean
USA,BELLINGHAM,79,29,37,Port,West Coast Canada,West Coast Canada
Thailand,SRIRACHA ANCH,79,36,32,Anchorage,Gulf of Thailand,South-East Asia
Greece,PIRAEUS,78,117,122,Port,Piraeus Area,East Mediterranean
China,JIMIYA,78,166,162,Port,Yellow Sea,North China
China,FANGCHENG ANCH,78,110,120,Anchorage,South China,South China
Thailand,LAEM CHABANG,77,54,57,Port,Gulf of Thailand,South-East Asia
Netherlands,VLISSINGEN,77,40,49,Port,Antwerp Area,UK Coast & Atlantic
Germany,BREMEN,77,22,24,Port,North Sea,"Inland, Europe"
France,PARIS,77,16,16,Port,"Inland, Europe","Inland, Europe"
Australia,PORT HEDLAND,76,59,72,Port,Timor Sea,West Australia
Australia,GLADSTONE,76,16,14,Port,Coral Sea,East Australia
Panama,PANAMA ANCH PACIFIC,76,82,81,Anchorage,Panama Canal,West Coast Central America
India,SIKKA,75,6,4,Port,West Coast India,West Coast India
China,XIUYU,75,16,20,Port,East China Sea,South China
Netherlands,HOORN,75,58,41,Port,North Sea,UK Coast & Atlantic
Bangladesh,CHITTAGONG ANCH,75,22,18,Anchorage,Bengal Bay,East Coast India
Japan,OSAKA,74,93,109,Port,Japan Coast,Japan Coast
Indonesia,SURABAYA,74,54,58,Port,Java Sea,Indonesia
Saudi Arabia,RAS TANURA,74,25,16,Port,Persian Gulf,Arabian Gulf
Lithuania,KLAIPEDA,74,37,37,Port,Baltic Sea,Baltic Sea
South Africa,DURBAN,73,20,20,Port,South Africa,South Africa
Nigeria,LAGOS,73,14,23,Port,Gulf of Guinea,West Africa
United Arab Emirates,SHARJAH,73,41,52,Port,Persian Gulf,Arabian Gulf
Turkey,CANAKKALE,73,10,38,Canal,Aegean Sea,East Mediterranean
China,TAIXING,73,29,46,Port,East China Sea,Central China
Norway,MYRE,73,18,13,Port,Norwegian Coast,Norwegian Coast
Netherlands,STAVOREN,73,79,73,Port,North Sea,UK Coast & Atlantic
China,NINGDE,72,34,36,Port,East China Sea,South China
China,SHENZHEN,72,166,198,Port,South China,South China
India,HAZIRA,72,67,71,Port,West Coast India,West Coast India
Spain,IBIZA,72,96,92,Port,Balearic Sea,West Mediterranean
Thailand,PHUKET,72,29,25,Port,Andaman Sea,South-East Asia
Spain,ALGECIRAS,71,191,202,Port,Gibraltar,West Mediterranean
Chile,PUERTO MONTT,71,21,22,Port,West South America,West South America
Ukraine,RENI,71,3,5,Port,"Inland, Europe","Inland, Europe"
USA,HONOLULU,71,32,33,Port,Hawaii,North Pacific
USA,EVERETT,71,16,25,Port,US West Coast,US West Coast
France,LORIENT,71,38,59,Port,Biscay Bay,UK Coast & Atlantic
China,JINTANG,71,35,46,Port,East China Sea,Central China
Greece,ZEA,71,8,14,Marina,Piraeus Area,East Mediterranean
Norway,STAVANGER,70,95,113,Port,North Sea,Norwegian Coast
United Arab Emirates,ZAKUM,70,34,35,Port,Persian Gulf,Arabian Gulf
USA,PORTLAND ME,70,38,45,Port,US East Coast,US East Coast
United Arab Emirates,JEBEL ALI,69,64,60,Port,Persian Gulf,Arabian Gulf
Italy,LIVORNO,69,28,28,Port,Ligurean Sea,West Mediterranean
Argentina,RECALADA,69,18,12,Anchorage,East Coast South America,East Coast South America
Saudi Arabia,DAMMAM ANCH,69,31,36,Anchorage,Persian Gulf,Arabian Gulf
USA,HOUSTON ANCH,69,45,41,Anchorage,Gulf of Mexico,Gulf of Mexico
Netherlands,MONNICKENDAM,69,29,43,Port,North Sea,UK Coast & Atlantic
Canada,HALIFAX,68,18,19,Port,East Coast Canada,East Coast Canada
China,LAIZHOU,68,150,160,Port,Bohai Sea,North China
Latvia,RIGA,68,29,26,Port,Baltic Sea,Baltic Sea
Norway,BATSFJORD,68,17,15,Port,Norwegian Coast,Norwegian Coast
Guernsey,GUERNSEY,68,24,31,Port,English Channel,UK Coast & Atlantic
China,CHANGSHU ANCH,68,154,154,Anchorage,East China Sea,Central China
United Kingdom,COWES,68,152,106,Port,English Channel,UK Coast & Atlantic
Jersey,ST HELIER,67,28,28,Port,English Channel,UK Coast & Atlantic
Peru,CALLAO ANCH,67,48,53,Anchorage,West South America,West South America
Hong Kong,HONG KONG ANCH,67,117,112,Anchorage,South China,South China
China,QINGDAO ANCH,67,120,91,Anchorage,Yellow Sea,North China
Germany,NEUSTADT,67,20,27,Port,Baltic Sea,Baltic Sea
Saudi Arabia,JEDDAH,66,37,37,Port,Red Sea,Red Sea
Denmark,SKAGEN,66,28,44,Port,Kattegat,Baltic Sea
USA,OAKLAND,66,36,44,Port,US West Coast,US West Coast
Bulgaria,VARNA,66,6,7,Port,Black Sea,Black Sea
Australia,FREMANTLE,66,58,59,Port,West Australia,West Australia
Vietnam,NGHI SON,66,17,20,Port,South-East Asia,South-East Asia
Netherlands,LELYSTAD HAVEN,66,34,45,Port,North Sea,UK Coast & Atlantic
Netherlands,SNEEK,66,36,46,Port,North Sea,UK Coast & Atlantic
USA,CHANNEL ISLANDS,66,18,24,Port,US West Coast,US West Coast
China,HUANGGE,66,42,42,Port,South China,South China
Turkey,ISKENDERUN,65,60,61,Port,East Mediterranean,East Mediterranean
Russia,MOSCOW,65,8,9,Port,"Inland, Russia","Inland, Russia"
United Kingdom,GRIMSBY,65,36,61,Port,North Sea,UK Coast & Atlantic
Netherlands,DEN OEVER,65,62,52,Port,North Sea,UK Coast & Atlantic
Germany,NORD-OSTSEE-KANAL,65,84,82,Canal,Kiel Canal,UK Coast & Atlantic
Australia,HOPE ISLAND,65,10,11,Port,Coral Sea,East Australia
USA,GIG HARBOR,65,15,25,Marina,US West Coast,US West Coast
Bangladesh,CHITTAGONG,64,17,13,Port,Bengal Bay,East Coast India
Panama,PANAMA CANAL,64,149,140,Canal,Panama Canal,West Coast Central America
Brazil,PARANAGUA,64,9,10,Port,East Coast South America,East Coast South America
France,FOS SUR MER,64,27,35,Port,West Mediterranean,West Mediterranean
China,QIDONG,64,12,19,Port,East China Sea,Central China
Malaysia,PENANG,64,48,52,Port,Malacca Strait,Indonesia
